DisplayName,tagname,Score
"mouad","python","4263"
"Rob","javascript","4260"
"kennytm","javascript","4256"
"Louis","javascript","4253"
"Jon Skeet","android","4252"
"zero323","dataframe","4245"
"Jon Skeet","exception","4214"
"codaddict","java","4209"
"Chris Pratt","asp.net-mvc","4208"
"YOU","python","4208"
"John Zwinck","c++","4202"
"cs95","dataframe","4197"
"Jon Skeet","passwords","4169"
"bobince","python","4140"
"paxdiablo","java","4136"
"John Millikin","python","4135"
"Josh Lee","git","4126"
"jsbueno","python","4117"
"John Feminella","scripting","4110"
"Fred Foo","c++","4107"
"John Feminella","file-io","4094"
"Yu Hao","c","4092"
"Cat Plus Plus","python","4086"
"Devin Jeanpierre","dictionary","4084"
"Devin Jeanpierre","sorting","4081"
"e-satis","file","4076"
"FogleBird","python","4068"
"e-satis","javascript","4057"
"georg","python","4053"
"David Cournapeau","shell","4046"
"ghostdog74","shell","4046"
"Blender","javascript","4046"
"paxdiablo","linux","4046"
"David Cournapeau","command","4042"
"David Cournapeau","subprocess","4042"
"David Cournapeau","external","4042"
"Chris","html","4033"
"Daniel Stutzbach","python","4030"
"Jon Skeet","oop","4029"
"jdi","python","4027"
"Tom","javascript","4022"
"Jon Skeet","floating-point","4021"
"bobince","unicode","4017"
"Lennart Regebro","python-3.x","4010"
"zzzeek","sqlalchemy","4005"
"e-satis","import","3991"
"e-satis","include","3991"
"Mark Cidade","c#","3988"
"Adam Rosenfield","objective-c","3987"
"e-satis","python-decorators","3986"
"e-satis","decorator","3986"
"inspectorG4dget","python","3983"
"ecatmur","python","3980"
"Mike Müller","python","3972"
"Peter","c#","3971"
"codeape","javascript-objects","3970"
"codeape","algorithm","3970"
"davidism","flask","3970"
"codeape","time-complexity","3970"
"Brandon Rhodes","python","3967"
"Daniel G","python","3945"
"TerryA","python","3941"
"tacaswell","python","3939"
"Claudiu","python","3932"
"Matthew Flaschen","java","3931"
"Mark","python","3929"
"Paul Stephenson","python","3914"
"Alex Riley","pandas","3907"
"Thomas Wouters","oop","3898"
"Paul Stephenson","global-variables","3893"
"Brian","string","3887"
"Anurag Uniyal","python","3883"
"Scott Boston","pandas","3877"
"Glenn Maynard","python","3873"
"Alex","html","3872"
"Alex Coventry","list","3865"
"Mark Byers","list","3859"
"Paul Stephenson","scope","3853"
"Sasha Chedygov","javascript","3847"
"Sven Marnach","dictionary","3838"
"ephemient","linux","3836"
"Alex Coventry","indexing","3834"
"Hooked","python","3828"
"Tim Peters","python","3828"
"kennytm","c","3825"
"Chris","php","3804"
"Jaime","python","3789"
"Alex","android","3776"
"Evan Fosmark","python","3775"
"Jaime","numpy","3774"
"Petar Ivanov","string","3761"
"paxdiablo","shell","3760"
"Alex Martelli","multidimensional-array","3752"
"alecxe","selenium-webdriver","3752"
"Alex Martelli","flatten","3741"
"Daniel","java","3740"
"Blender","jquery","3739"
"sth","python","3736"
"Fred Foo","c","3733"
"poke","git","3726"
"dawg","python","3724"
"Sven Marnach","string","3721"
"Greg Hewgill","slice","3713"
"alecxe","protractor","3704"
"ShadowRanger","python","3703"
"Alex Riley","dataframe","3694"
"Jon Skeet","double","3690"
"zzzeek","python","3690"
"Paolo Bergantino","php","3689"
"PaulMcG","python","3681"
"MattDMo","sublimetext3","3673"
"Barmar","bash","3672"
"codaddict","c","3661"
"Scott Boston","python","3657"
"ali_m","python","3655"
"Jon Skeet","ienumerable","3649"
"Pavel Anossov","python","3648"
"Daniel Pryden","java","3647"
"gahooa","git-reset","3632"
"gahooa","git-rebase","3631"
"Cédric Julien","python","3631"
"Willem Van Onsem","haskell","3623"
"Martijn Pieters","performance","3622"
"Veedrac","python","3620"
"nneonneo","c","3613"
"Martin v. Löwis","python","3610"
"Sven Marnach","list","3601"
"tom10","python","3594"
"Martijn Pieters","python-requests","3591"
"pycruft","python","3590"
"JoshAdel","python","3590"
"Peter","git","3589"
"Jon Skeet","loops","3589"
"CoryKramer","python","3579"
"codaddict","syntax","3567"
"Chris","android","3564"
"Wen-Ben","dataframe","3557"
"steveha","python","3556"
"Vaughn Cato","c++","3549"
"Alex Martelli","dictionary","3537"
"zwol","c","3529"
"Konrad Rudolph","newline","3522"
"Ned Batchelder","list","3509"
"alecxe","web-scraping","3509"
"Óscar López","scheme","3509"
"Torsten Marek","python","3506"
"Jon Skeet","decimal","3501"
"Brian","c#","3494"
"Abhijit","python","3489"
"Alec Thomas","python","3484"
"Alex","objective-c","3476"
"Andrew","git","3466"
"alecxe","javascript","3462"
"Divakar","matlab","3461"
"larsks","docker","3460"
"Aaron Maenpaa","python","3458"
"sth","bash","3454"
"Daniel","c#","3447"
"Warren Weckesser","numpy","3442"
"Matthew Flaschen","javascript","3427"
"Greg Hewgill","ignore","3423"
"Hugh Bothwell","python","3419"
"Andrew","javascript","3416"
"Andy","jquery","3412"
"bobince","jquery","3409"
"glglgl","python","3405"
"Greg Hewgill","chmod","3401"
"Jon Skeet","interface","3399"
"Wooble","git","3397"
"codaddict","string-concatenation","3395"
"Konrad Rudolph","arrays","3395"
"Steven",".net","3392"
"John Kugelman","java","3387"
"Divakar","arrays","3365"
"pycruft","directory","3362"
"Justin Peel","python","3362"
"Felix Kling","css","3360"
"Burhan Khalid","django","3356"
"Timmy O'Mahony","django","3351"
"bruno desthuilliers","python","3349"
"Flimm","python","3347"
"sepp2k","arrays","3337"
"Nick","c#","3322"
"Konrad Rudolph","php","3321"
"paxdiablo","python","3309"
"ThiefMaster","jquery","3304"
"vks","regex","3302"
"Sean Vieira","flask","3301"
"S.Lott","django","3281"
"Ayman Hourieh","python","3279"
"codaddict","concat","3275"
"Amber","php","3271"
"waitingkuo","pandas","3260"
"Jon Skeet","alias","3260"
"pyfunc","python","3260"
"mipadi","git-diff","3257"
"jamylak","list","3244"
"Björn Pollex","c++","3243"
"6502","c++","3243"
"BrenBarn","pandas","3242"
"John Zwinck","python","3238"
"deceze","arrays","3235"
"Aaron Hall","exception","3230"
"fortran","python","3230"
"georg","duplicates","3227"
"Dan D.","python","3227"
"Ayman Hourieh","bash","3218"
"John Kugelman","linux","3216"
"Ignacio Vazquez-Abrams","list","3208"
"waitingkuo","python","3207"
"Aaron Hall","exception-handling","3203"
"Daniel G","concatenation","3202"
"Daniel G","list","3202"
"Petar Ivanov","python","3195"
"Martijn Pieters","unicode","3194"
"Amadan","javascript","3193"
"marcog","python","3191"
"Marcin","python","3177"
"Jon Skeet","unit-testing","3176"
"paxdiablo","unix","3170"
"PM 2Ring","python","3167"
"Paul","java","3165"
"phihag","php","3162"
"Zero","pandas","3161"
"Charles Duffy","linux","3161"
"Felix Kling","node.js","3159"
"zeekay","python","3156"
"Scott Tesler","pip","3155"
"Scott Tesler","macos","3155"
"Scott Tesler","install","3155"
"Scott Tesler","python","3155"
"Alex","css","3152"
"Brian R. Bondy","memory-management","3145"
"Bastien Léonard","python","3139"
"A. Coady","python","3136"
"Alexander","pandas","3131"
"Tom","python","3130"
"bernie","exception-handling","3127"
"Jon Skeet","foreach","3125"
"Psidom","r","3122"
"Keith","python","3122"
"Ethan Furman","python","3122"
"paxdiablo","regex","3119"
"MattDMo","sublimetext","3117"
"Lasse Vågsæther Karlsen","sql-server","3117"
"Saullo G. P. Castro","python","3114"
"bernie","exception","3111"
"Felix Kling","json","3110"
"James","python","3110"
"Rafe Kettler","python","3109"
"Eugene Yarmash","perl","3106"
"tripleee","bash","3106"
"TigerhawkT3","python","3106"
"James","java","3105"
"ali_m","numpy","3103"
"Senthil Kumaran","python","3103"
"jezrael","python-3.x","3098"
"Steve Tjoa","python","3094"
"JoshAdel","numpy","3083"
"Carl Meyer","python","3082"
"Ants Aasma","python","3078"
"Abid Rahman K","opencv","3076"
"Wiktor Stribiżew","javascript","3074"
"Jon Skeet","serialization","3071"
"gnud","python","3070"
"John1024","bash","3069"
"Sven Marnach","numpy","3068"
"Greg Hewgill","string","3067"
"jterrace","python","3067"
"ninjagecko","python","3067"
"Paul","javascript","3055"
"Johnsyweb","python","3047"
"Felix Kling","html","3045"
"Jon Skeet","extension-methods","3039"
"Jon Skeet","design-patterns","3035"
"alvas","python","3033"
"John Kugelman","shell","3032"
"mipadi","python","3031"
"Paolo Bergantino","dictionary","3023"
"newacct","java","3021"
"Brian",".net","3008"
"unutbu","oop","3007"
"ekhumoro","pyqt","3006"
"Wouter Overmeire","pandas","3004"
"van","sqlalchemy","3003"
"Jon Skeet","linq-to-xml","2996"
"Colonel Panic","python","2996"
"Thomas","python","2990"
"Felix Kling","list","2988"
"Daniel","f#","2988"
"rbp","python","2981"
"Petr Viktorin","python-3.x","2980"
"unutbu","methods","2977"
"Triptych","list","2977"
"Mark Biek","vim","2977"
"behzad.nouri","python","2977"
"Ignacio Vazquez-Abrams","shell","2974"
"Jay","c#","2973"
"Nick","php","2972"
"Rostyslav Dzinko","python","2972"
"ayhan","python","2971"
"Jon Skeet","asynchronous","2970"
"Zero","python","2970"
"Jon Skeet","arraylist","2967"
"Niklas B.","python","2965"
"Ajax1234","python","2964"
"larsks","git","2963"
"Psidom","pandas","2961"
"Thomas","c++","2955"
"Peter","c++","2955"
"Ben","r","2955"
"Greg Hewgill","java","2954"
"abarnert","python-3.x","2946"
"Wooble","gitignore","2944"
"Yuji 'Tomita' Tomita","python","2944"
"Jon Skeet","winforms","2940"
"falsetru","string","2940"
"Georg Schölly","cocoa-touch","2935"
"tobias_k","python","2931"
"Patrick Harrington","python","2927"
"juanpa.arrivillaga","python","2922"
"Paolo Bergantino","lookup","2920"
"jfs","subprocess","2917"
"Daniel","ios","2916"
"Patrick Harrington","datetime","2908"
"Jon Skeet","events","2907"
"Steven Rumbalski","python","2904"
"interjay","python","2904"
"Wouter Overmeire","python","2903"
"Marcelo Cantos","c++","2895"
"Jim Dennis","vim","2894"
"Amber","git-commit","2893"
"Eric","python","2892"
"Barmar","html","2891"
"Chris Pratt","python","2888"
"Russell Dias","python","2887"
"Alex",".net","2886"
"Andy","git","2879"
"Peter Hoffmann","python","2878"
"Jon Skeet","eclipse","2876"
"kennytm","ios","2875"
"Eric","sql-update","2872"
"John Kugelman","python","2871"
"Lauritz V. Thaulow","python","2869"
"Salvador Dali","python","2864"
"Barmar","c","2863"
"Eric","tsql","2862"
"Jim Dennis","vi","2862"
"Greg Hewgill","editor","2862"
"alecxe","django","2860"
"ghostdog74","string","2860"
"Jon Skeet","clr","2853"
"Felix Kling","copy","2850"
"ely","python","2848"
"Tadeck","git","2847"
"James","html","2845"
"root","pandas","2843"
"karthikr","django","2837"
"John Fouhy","python","2835"
"Eric","sql-server-2005","2829"
"Thomas","c#","2828"
"DeepSpace","python","2826"
"Adam Rosenfield","typedef","2825"
"u0b34a0f6ae","python","2825"
"Ben","php","2824"
"Andrew","sql","2824"
"Ned Deily","macos","2823"
"Hooked","matplotlib","2819"
"Jon Skeet","async-await","2818"
"Chris","git","2814"
"John La Rooy","string","2803"
"asmeurer","python","2800"
"Felix Kling","clone","2800"
"e-satis","php","2797"
"Tadeck","python","2796"
"Jonathan Leffler","sql","2793"
"Marcelo Cantos","python","2793"
"Brian R. Bondy","c","2791"
"Russell Dias","directory","2790"
"Jon Skeet","file","2787"
"Paolo Bergantino","python-decorators","2778"
"Paolo Bergantino","decorator","2778"
"georg","unique","2777"
"RichieHindle","file-io","2776"
"Jon Skeet","visual-studio-2010","2775"
"eyllanesc","python","2774"
"Aaron Maenpaa","python-3.x","2771"
"ncoghlan","python","2771"
"Georg Schölly","nsmutablearray","2768"
"Mark Longair","git-branch","2766"
"kojiro","bash","2766"
"Sasha Chedygov","python","2754"
"Eli Bendersky","c","2752"
"Greg Hewgill","git-rm","2746"
"Bernhard Vallant","django","2744"
"John Feminella","c#","2743"
"RichieHindle","delete-file","2740"
"Alex Martelli","linux","2733"
"unutbu","python-decorators","2731"
"Eli Courtwright","subprocess","2731"
"Rod","python","2731"
"Michał Niklas","python","2729"
"Eli Courtwright","shell","2728"
"ayhan","pandas","2728"
"RichieHindle","folder","2727"
"Eli Courtwright","command","2725"
"Eli Courtwright","external","2725"
"van","python","2725"
"Vinko Vrsalovic","linux","2723"
"Chris","reactjs","2723"
"DSM","numpy","2722"
"Rakesh","python","2720"
"Raymond Hettinger","list","2717"
"codelogic","python","2714"
"Petar Ivanov","unicode","2710"
"Petar Ivanov","uppercase","2710"
"Andy","c#","2710"
"Petar Ivanov","lowercase","2710"
"Ben","oracle","2703"
"Martijn Pieters","list-comprehension","2700"
"Chris B.","dictionary","2697"
"mata","python","2695"
"Thomas ","r","2692"
"Yuval Adam","java","2687"
"Fred Foo","git","2686"
"Ben James","python","2683"
"Ry-","c#","2681"
"Rohit Jain","python","2680"
"Ned Batchelder","split","2679"
"alvas","nltk","2678"
"Jon Skeet","hashcode","2676"
"mipadi","objective-c","2674"
"knbk","django","2673"
"Evan Fosmark","delay","2672"
"Evan Fosmark","sleep","2672"
"Evan Fosmark","timedelay","2672"
"karthikr","python","2672"
"AndiDog","python","2671"
"Cat Plus Plus","c++","2670"
"Jon Skeet",".net-framework-version","2667"
"Jörg W Mittag","ruby-on-rails","2664"
"Eric","jquery","2659"
"Jon Skeet","compiler-version","2658"
"Jean-Paul Calderone","twisted","2652"
"warvariuc","python","2652"
"Felix Kling","string","2651"
"alecxe","beautifulsoup","2644"
"Jonathan Leffler","perl","2640"
"David Wolever","python","2638"
"CT Zhu","python","2637"
"Chris Pratt","c#","2632"
"Greg Hewgill","c++-faq","2629"
"Brian","java","2627"
"user4815162342","python","2626"
"Ben","sql","2624"
"shx2","python","2623"
"Konrad Rudolph",".net","2618"
"Jon Skeet","sql","2616"
"codaddict","c++","2615"
"chepner","linux","2611"
"Winston Ewert","python","2611"
"DebanjanB","selenium","2602"
"Dietrich Epp","git","2601"
"Daniel Roseman","django-templates","2600"
"Chris","jquery","2600"
"Paulo Scardine","python","2599"
